Word	Frequency
i 	 10556
that 	 10546
they 	 9692
his 	 9383
is 	 9036
be 	 8954
not 	 8907
lord 	 8576
with 	 8418
have 	 8131
from 	 8089
your 	 8053
who 	 7740
him 	 7652
it 	 6798
all 	 6551
so 	 6334
them 	 6068
was 	 5911
god 	 5437
my 	 5341
shall 	 5253
as 	 5113
but 	 5001
has 	 4751
their 	 4742
this 	 4560
me 	 4418
are 	 4411
were 	 4199
said 	 4177
had 	 4170
by 	 3996
one 	 3860
which 	 3820
when 	 3190
on 	 3014
been 	 2909
may 	 2903
then 	 2877
sons 	 2837
king 	 2768
there 	 2739
do 	 2734
we 	 2712
if 	 2650
israel 	 2622
those 	 2549
son 	 2496
into 	 2397
at 	 2296
man 	 2269
her 	 2235
these 	 2220
people 	 2198
up 	 2121
out 	 2108
things 	 2033
upon 	 1948
what 	 1943
over 	 1937
us 	 1915
also 	 1900
like 	 1868
away 	 1853
day 	 1836
house 	 1827
land 	 1794
because 	 1793
before 	 1766
against 	 1736
now 	 1729
no 	 1689
our 	 1687
men 	 1634
would 	 1612
an 	 1589
she 	 1569
or 	 1550
let 	 1546
saying 	 1488
did 	 1455
just 	 1427
even 	 1424
place 	 1415
hand 	 1392
its 	 1274
therefore 	 1253
great 	 1249
jesus 	 1181
among 	 1173
went 	 1127
earth 	 1124
father 	 1119
am 	 1114
know 	 1109
david 	 1097
say 	 1089
go 	 1074
days 	 1070
made 	 1066
behold 	 1060
should 	 1057
city 	 1047
o 	 1043
own 	 1041
way 	 1038
time 	 1034
says 	 1025
name 	 1017
after 	 984
down 	 969
christ 	 965
heart 	 964
nor 	 962
give 	 956
word 	 946
through 	 943
jerusalem 	 940
take 	 925
yet 	 923
might 	 897
whom 	 885
sent 	 883
words 	 877
many 	 859
judah 	 841
good 	 828
every 	 809
about 	 805
himself 	 797
together 	 792
spirit 	 783
called 	 781
according 	 780
two 	 775
moses 	 761
each 	 760
brothers 	 756
face 	 750
holy 	 734
hands 	 733
having 	 729
see 	 707
able 	 707
law 	 704
heard 	 698
sight 	 693
hundred 	 688
set 	 686
whoever 	 685
death 	 681
another 	 680
glory 	 676
life 	 676
soul 	 664
how 	 649
until 	 645
heaven 	 630
egypt 	 626
very 	 625
done 	 624
given 	 619
forth 	 619
evil 	 613
fire 	 603
truly 	 602
thousand 	 602
eyes 	 597
took 	 596
fathers 	 592
arrived 	 584
servant 	 581
make 	 581
voice 	 580
same 	 578
than 	 577
sin 	 574
any 	 572
kings 	 571
servants 	 570
first 	 568
does 	 556
eat 	 555
speak 	 554
more 	 552
brought 	 552
entire 	 549
being 	 543
gave 	 542
toward 	 540
came 	 536
years 	 534
where 	 530
thus 	 528
become 	 524
come 	 518
gold 	 516
again 	 514
leaders 	 512
without 	 512
midst 	 509
found 	 509
saw 	 508
fear 	 507
peace 	 507
flesh 	 504
led 	 503
sea 	 502
three 	 501
other 	 500
under 	 500
cities 	 491
while 	 490
live 	 488
blood 	 485
works 	 485
wife 	 484
why 	 483
mouth 	 483
order 	 465
well 	 464
seen 	 461
head 	 460
temple 	 459
instead 	 458
little 	 457
cast 	 455
justice 	 450
sword 	 450
spoke 	 450
woman 	 450
priest 	 446
kingdom 	 443
struck 	 443
brother 	 442
priests 	 438
judgment 	 436
work 	 435
seven 	 433
within 	 430
taken 	 428
high 	 427
much 	 424
neither 	 424
water 	 423
faith 	 421
truth 	 416
saul 	 415
listen 	 415
bread 	 414
around 	 413
only 	 413
back 	 412
nations 	 409
jews 	 409
instructed 	 408
enter 	 408
return 	 407
enemies 	 406
mercy 	 406
iniquity 	 401
blessed 	 400
themselves 	 399
wisdom 	 396
altar 	 396
above 	 395
most 	 394
multitude 	 394
offer 	 393
both 	 387
put 	 384
far 	 383
gentiles 	 379
entered 	 378
near 	 378
responded 	 377
silver 	 375
lead 	 372
nothing 	 372
year 	 372
spoken 	 364
willing 	 362
dead 	 358
some 	 358
army 	 357
whatever 	 356
written 	 355
night 	 352
anyone 	 348
living 	 346
turned 	 346
world 	 343
such 	 343
unto 	 341
die 	 341
rise 	 340
right 	 338
daughter 	 336
body 	 334
rest 	 333
tabernacle 	 333
left 	 333
bring 	 332
] 	 332
still 	 330
leader 	 326
love 	 326
jacob 	 324
filled 	 324
placed 	 324
light 	 322
end 	 321
aaron 	 320
waters 	 320
happened 	 319
babylon 	 317
covenant 	 314
power 	 314
along 	 313
hear 	 311
strong 	 310
since 	 309
reason 	 309
feet 	 308
ones 	 307
can 	 306
conceived 	 306
speaking 	 306
drink 	 306
strength 	 301
month 	 301
grace 	 300
mother 	 296
lest 	 296
though 	 295
fall 	 294
hosts 	 294
praise 	 294
sins 	 293
yourself 	 292
send 	 292
built 	 292
died 	 289
stand 	 288
judge 	 287
gods 	 283
hope 	 282
known 	 281
gathered 	 280
four 	 280
five 	 279
impious 	 277
whose 	 276
testimony 	 276
solomon 	 276
returned 	 275
certain 	 274
certainly 	 273
places 	 273
gate 	 272
camp 	 269
prophets 	 269
ways 	 269
remain 	 269
offered 	 267
part 	 266
new 	 265
behind 	 263
wine 	 262
sacrifice 	 261
walk 	 261
number 	 260
likewise 	 259
act 	 259
longer 	 259
daughters 	 258
turn 	 258
prophet 	 257
stood 	 254
became 	 254
accord 	 251
anything 	 250
cut 	 250
women 	 250
offspring 	 249
received 	 249
side 	 248
keep 	 248
forever 	 247
long 	 247
delivered 	 247
too 	 246
angel 	 245
desert 	 245
find 	 244
here 	 244
hold 	 243
sheep 	 243
philistines 	 243
old 	 243
mountain 	 242
wrath 	 242
prepared 	 242
others 	 242
salvation 	 240
fell 	 240
everything 	 240
wise 	 239
tribe 	 239
killed 	 237
abraham 	 237
mountains 	 236
field 	 236
ten 	 235
disciples 	 235
battle 	 234
afraid 	 234
between 	 233
morning 	 232
receive 	 232
appointed 	 231
children 	 231
region 	 230
standing 	 229
ark 	 228
cause 	 228
serve 	 227
seek 	 226
poor 	 226
inhabitants 	 225
young 	 225
destroy 	 225
cubits 	 224
choose 	 223
indeed 	 223
levites 	 223
call 	 222
concerning 	 222
times 	 220
jonathan 	 219
oil 	 219
throughout 	 218
second 	 218
third 	 218
rose 	 218
sun 	 217
lived 	 216
pharaoh 	 214
ascended 	 214
reigned 	 214
mind 	 214
tree 	 213
fled 	 212
beyond 	 212
foolish 	 211
stone 	 210
going 	 210
throne 	 209
free 	 209
fruit 	 208
born 	 207
consider 	 206
except 	 205
believe 	 205
present 	 205
gone 	 205
yourselves 	 204
aside 	 203
carried 	 202
lives 	 202
could 	 202
samuel 	 202
mount 	 202
war 	 201
destroyed 	 199
alone 	 199
honor 	 199
jordan 	 198
cried 	 197
ground 	 196
departed 	 196
rejoice 	 195
beginning 	 194
opposite 	 194
sake 	 194
knowledge 	 194
myself 	 193
inheritance 	 193
answered 	 193
twelve 	 192
houses 	 192
understand 	 192
sanctuary 	 192
elders 	 191
beside 	 191
stones 	 190
nation 	 190
passed 	 189
whole 	 189
joseph 	 189
peoples 	 187
wood 	 187
six 	 187
darkness 	 187
wall 	 187
began 	 186
husband 	 186
behalf 	 186
exalted 	 186
pass 	 185
families 	 184
perhaps 	 184
fury 	 184
possession 	 184
manner 	 183
better 	 183
paul 	 182
food 	 182
river 	 181
reign 	 181
gather 	 181
perish 	 181
zion 	 181
greater 	 180
ephraim 	 180
lifted 	 180
benjamin 	 178
carry 	 178
counsel 	 178
generation 	 178
holocaust 	 178
bless 	 178
amen 	 177
taking 	 177
kind 	 176
ascend 	 176
sacred 	 175
clothed 	 174
must 	 174
whether 	 174
beasts 	 174
sitting 	 174
age 	 173
gospel 	 172
sinned 	 172
vessels 	 172
reveal 	 172
seeing 	 171
gates 	 171
heavens 	 171
commandments 	 169
covered 	 169
peter 	 169
wicked 	 168
next 	 168
beloved 	 167
money 	 166
open 	 166
revealed 	 165
hearts 	 165
understanding 	 165
remember 	 165
saved 	 164
caused 	 164
pray 	 164
jeremiah 	 163
wives 	 163
sanctified 	 163
garments 	 163
angry 	 162
completed 	 162
possess 	 162
save 	 162
strike 	 162
joshua 	 162
remained 	 162
held 	 161
tell 	 161
kill 	 161
moreover 	 161
fight 	 161
immediately 	 161
hearing 	 160
john 	 160
judas 	 159
evening 	 159
hidden 	 159
judgments 	 158
deliver 	 158
eternity 	 158
unclean 	 158
arrive 	 157
twenty 	 156
reported 	 156
feast 	 155
birth 	 154
grain 	 154
commanded 	 153
consumed 	 153
quickly 	 152
always 	 152
meet 	 152
simon 	 151
moab 	 151
joy 	 151
beg 	 150
ask 	 150
sabbath 	 150
idols 	 150
door 	 150
brass 	 149
accept 	 149
cross 	 149
build 	 148
measure 	 148
descended 	 147
authority 	 147
sleep 	 147
parts 	 147
opened 	 147
virtue 	 146
manasseh 	 146
ears 	 145
exceedingly 	 145
rising 	 145
everyone 	 145
prayer 	 144
acted 	 144
church 	 144
thing 	 144
faithful 	 144
north 	 143
portion 	 143
slain 	 143
burned 	 143
neighbor 	 143
fallen 	 142
depart 	 141
eternal 	 141
joab 	 141
souls 	 141
full 	 141
want 	 141
tribulation 	 140
approach 	 140
doing 	 140
ever 	 140
off 	 140
kept 	 140
trees 	 140
today 	 139
means 	 138
never 	 138
draw 	 138
repay 	 138
sit 	 137
loved 	 137
cattle 	 137
enemy 	 136
half 	 136
friend 	 136
powerful 	 136
hour 	 135
confess 	 135
family 	 135
ordered 	 135
lips 	 134
someone 	 134
sought 	 133
gilead 	 133
confounded 	 133
tongue 	 133
appeared 	 133
descend 	 132
seeking 	 132
chosen 	 132
bear 	 132
small 	 132
desire 	 131
similarly 	 131
strengthened 	 131
walked 	 131
oxen 	 130
valley 	 130
flee 	 129
during 	 129
samaria 	 129
woe 	 129
eye 	 129
sign 	 128
hezekiah 	 128
greatly 	 127
divided 	 127
wilderness 	 127
walls 	 127
seventh 	 127
need 	 127
across 	 127
 	 127
sound 	 126
gifts 	 126
followed 	 126
wind 	 126
tribes 	 126
assyrians 	 126
outside 	 126
fine 	 125
saints 	 125
south 	 125
precepts 	 124
heads 	 123
buried 	 123
sat 	 123
firstborn 	 123
fifty 	 123
charity 	 123
broken 	 122
east 	 121
thirty 	 121
close 	 121
formed 	 121
raised 	 121
lot 	 120
disgrace 	 119
release 	 119
sinners 	 119
blessing 	 119
apart 	 119
burning 	 119
otherwise 	 119
believed 	 119
teach 	 119
joined 	 118
horses 	 118
famine 	 118
isaac 	 118
dwell 	 118
crowd 	 118
boy 	 117
accomplish 	 116
incense 	 115
approached 	 115
judged 	 115
seized 	 114
silent 	 114
table 	 114
false 	 114
something 	 113
sister 	 113
daniel 	 113
journey 	 113
nebuchadnezzar 	 112
judea 	 112
show 	 112
indignation 	 112
heed 	 112
presence 	 112
considered 	 112
follow 	 112
evils 	 112
pity 	 112
cry 	 112
iron 	 111
burn 	 111
created 	 111
announce 	 110
look 	 110
lift 	 110
last 	 110
sorrow 	 109
captivity 	 109
moved 	 109
holocausts 	 109
angels 	 109
fat 	 109
forty 	 109
anger 	 108
horsemen 	 108
sing 	 108
sacrifices 	 108
wheat 	 108
iniquities 	 108
wickedness 	 108
thoughts 	 108
length 	 108
true 	 107
crushed 	 107
chariots 	 107
entrance 	 107
names 	 106
doctrine 	 106
established 	 106
worthy 	 106
apostles 	 106
accomplished 	 105
pleasing 	 105
ammon 	 105
bones 	 105
borders 	 105
adore 	 105
fought 	 105
knows 	 105
elijah 	 105
weeping 	 105
linen 	 104
offering 	 104
mordecai 	 104
minister 	 104
beautiful 	 104
fulfilled 	 103
cloud 	 103
thanks 	 103
clean 	 103
absalom 	 103
entering 	 103
necessary 	 102
freed 	 102
friends 	 102
victims 	 102
canaan 	 102
cannot 	 101
itself 	 101
ought 	 101
beast 	 101
middle 	 101
syria 	 101
width 	 101
sweet 	 101
poured 	 101
bed 	 100
oath 	 100
signs 	 100
knew 	 100
sides 	 100
womb 	 100
matter 	 100
pleased 	 100
ministry 	 100
jeroboam 	 99
book 	 99
lion 	 99
similar 	 99
raise 	 99
calf 	 98
told 	 98
beauty 	 98
flock 	 98
lay 	 98
foot 	 98
devour 	 98
disturbed 	 98
help 	 97
rescue 	 97
lying 	 97
cease 	 96
continue 	 96
use 	 96
hair 	 96
branches 	 96
torrent 	 96
ate 	 95
unless 	 95
youth 	 95
bound 	 95
favor 	 95
psalm 	 95
first-fruits 	 94
arrogance 	 94
ruler 	 94
observe 	 94
rain 	 94
ear 	 94
curse 	 94
extended 	 93
spoils 	 93
risen 	 93
rams 	 93
ram 	 93
burden 	 93
prepare 	 92
handed 	 92
read 	 92
swore 	 92
respond 	 92
dust 	 92
wild 	 92
touched 	 92
vision 	 92
lamb 	 92
labor 	 92
commandment 	 91
prison 	 91
served 	 91
fourth 	 91
pay 	 91
everlasting 	 90
doors 	 90
cover 	 90
steps 	 90
multiplied 	 90
abandoned 	 90
garment 	 90
defiled 	 90
messengers 	 90
empty 	 90
begun 	 89
rock 	 89
arm 	 89
birds 	 89
soon 	 89
command 	 89
withdraw 	 89
pharisees 	 89
drew 	 89
ox 	 89
departing 	 88
destruction 	 88
immolated 	 88
write 	 88
generations 	 88
chaldeans 	 88
abundance 	 88
rulers 	 88
dread 	 88
riches 	 87
permit 	 87
trust 	 87
chains 	 87
remainder 	 87
lie 	 87
once 	 87
looked 	 87
walking 	 87
flocks 	 87
sold 	 86
gift 	 86
subject 	 86
grant 	 86
calling 	 86
promised 	 86
ahab 	 86
eaten 	 86
scattered 	 86
vineyard 	 86
approaching 	 85
rejoicing 	 85
wrote 	 85
ourselves 	 85
letters 	 85
converted 	 85
following 	 85
carrying 	 85
named 	 85
yours 	 85
hell 	 85
greet 	 85
leave 	 85
consume 	 85
bore 	 85
future 	 85
blind 	 85
response 	 84
egyptians 	 84
elect 	 84
judges 	 84
prophesy 	 84
haman 	 84
galilee 	 84
esau 	 84
villages 	 84
lambs 	 84
letter 	 84
trumpet 	 84
ignorant 	 83
promise 	 83
desolate 	 83
image 	 83
crossed 	 83
loves 	 83
accepted 	 83
gladness 	 83
vain 	 83
crown 	 83
laid 	 83
few 	 83
jehoshaphat 	 82
setting 	 82
firm 	 82
shekels 	 82
obtain 	 82
tent 	 82
astray 	 82
slept 	 82
almighty 	 82
herself 	 81
