ID	PRODUCT	DEPARTMENT
2916	BANANAS	FRUITS
3460	STAWBERRIES	FRUITS
3740	ICE	MISCELLANEOUS
1408	EGGS	BAKING
6856	AVOCADO	FRUITS
6802	SCALLIONS	VEGETABLES
1974	BROCCOLI CROWNS	VEGETABLES
9847	HALF-GAL MILK	DAIRY
1036	WATER	MISCELLANEOUS
7744	LEMONS	FRUITS
6724	LIMES	FRUITS
5896	CHICKEN BREAST	POULTRY
2071	GROUND TURKEY	POULTRY
5635	FRUIT PUNCH	MISCELLANEOUS
1262	RUSSET POTATOES	VEGETABLES
7134	PRIME RIBEYE	BEEF
9514	CHUCK ROAST	BEEF
1111	CENTER PORK CHOP	PORK
5444	AP FLOUR	BAKING
5601	PINOT NOIR	21+
9848	SUGAR	BAKING
3704	COFFEE GROUND	MISCELLANEOUS
1561	SKIRT STEAK	BEEF
1678	TOP SIRLOIN	BEEF
3283	HONEYCRISP APPLE	FRUITS
4036	FUJI APPLE	FRUITS
1988	POWERADE	MISCELLANEOUS
